,reviewTimeInHours,asin,average_overall,median_overall
161,2009-08-12-00,B0002GLDQM,5.0,5.0
162,2009-08-13-00,B0002E1J3Q,5.0,5.0
163,2009-08-14-00,B001EL6I8W,5.0,5.0
164,2009-08-19-00,B0002D0CKI,5.0,5.0
165,2009-08-20-00,B002Q0WSO8,4.0,4.0
166,2009-08-23-00,B0002CZSJO,4.0,4.0
167,2009-08-24-00,B000CHJTG2,5.0,5.0
168,2009-08-24-00,B0014IEBM0,4.0,4.0
169,2009-08-26-00,B000KIPUQG,5.0,5.0
170,2009-09-02-00,B0000AQRSS,4.0,4.0
171,2009-09-04-00,B000VBH2IG,1.0,1.0
172,2009-09-06-00,B0002GZBO2,1.0,1.0
173,2009-09-06-00,B000EEEYCW,5.0,5.0
174,2009-09-08-00,B0007L8BQW,4.0,4.0
175,2009-09-14-00,B002Q0WSO8,5.0,5.0
176,2009-09-16-00,B000AKSUP2,5.0,5.0
177,2009-09-16-00,B000KUCQXY,5.0,5.0
178,2009-09-19-00,B001QWBM62,2.0,2.0
179,2009-09-21-00,B00178JDCK,5.0,5.0
180,2009-09-22-00,B0002M3OVI,5.0,5.0
181,2009-09-22-00,B000NJ2TIE,5.0,5.0
182,2009-09-22-00,B001EL6I8W,5.0,5.0
183,2009-09-23-00,B000J5XS3C,5.0,5.0
184,2009-09-23-00,B000P5OULA,4.0,4.0
185,2009-09-24-00,B001V5K2S8,5.0,5.0
186,2009-09-27-00,B0002CZW0Y,4.0,4.0
187,2009-09-28-00,B001QWBM62,4.0,4.0
188,2009-10-05-00,B0002D0CEO,5.0,5.0
189,2009-10-11-00,B0002F519I,5.0,5.0
190,2009-10-12-00,B000LQLDM2,5.0,5.0
191,2009-10-14-00,B001LJUVO4,5.0,5.0
192,2009-10-16-00,B0002CZVBE,5.0,5.0
193,2009-10-17-00,B0002CZV82,5.0,5.0
194,2009-10-17-00,B0002D0C1C,5.0,5.0
195,2009-10-17-00,B0002D0CEO,5.0,5.0
196,2009-10-19-00,B0002E3CHC,5.0,5.0
197,2009-10-21-00,B001R76D42,4.0,4.0
198,2009-10-28-00,B0013PU75Y,5.0,5.0
199,2009-10-29-00,B0002E1O7M,4.0,4.0
200,2009-10-31-00,B0002H0A3S,5.0,5.0
201,2009-10-31-00,B001FB5Z8K,5.0,5.0
202,2009-11-01-00,B000KIPUQG,4.0,4.0
203,2009-11-03-00,B0009G1E0K,5.0,5.0
204,2009-11-03-00,B000A6ASSS,5.0,5.0
205,2009-11-06-00,B0002E3B78,5.0,5.0
206,2009-11-06-00,B000BUDO48,5.0,5.0
207,2009-11-12-00,B0002E3CHC,4.0,4.0
208,2009-11-12-00,B000VZYS66,5.0,5.0
209,2009-11-12-00,B002QQC1ZI,4.0,4.0
210,2009-11-13-00,B0002CZV82,1.0,1.0
211,2009-11-17-00,B000CD1R7K,4.0,4.0
212,2009-11-18-00,B0002CZW0Y,4.0,4.0
213,2009-11-18-00,B000CZ0RLK,5.0,5.0
214,2009-11-24-00,B0002T67J2,5.0,5.0
215,2009-11-24-00,B0015RIN6U,5.0,5.0
216,2009-11-30-00,B0002M6CW6,5.0,5.0
217,2009-12-01-00,B000BW2D84,3.0,3.0
218,2009-12-01-00,B000S5V510,5.0,5.0
219,2009-12-02-00,B000KIRT38,4.0,4.0
220,2009-12-03-00,B0014IEBM0,4.0,4.0
221,2009-12-03-00,B001FSZR4U,5.0,5.0
222,2009-12-11-00,B000CZ0RLU,5.0,5.0
223,2009-12-11-00,B000V4YFLA,5.0,5.0
224,2009-12-11-00,B0016ZZKJO,5.0,5.0
225,2009-12-13-00,B000B6DHB2,5.0,5.0
226,2009-12-14-00,B0002PBS68,5.0,5.0
227,2009-12-14-00,B000K6B4E0,5.0,5.0
228,2009-12-18-00,B0002E3DLM,5.0,5.0
229,2009-12-18-00,B0002GX6V2,3.0,3.0
230,2009-12-24-00,B001EL6I8W,5.0,5.0
231,2009-12-29-00,B0002D0CEO,5.0,5.0
232,2009-12-29-00,B00186L9X2,5.0,5.0
233,2009-12-30-00,B000TGSM6E,2.0,2.0
234,2010-01-07-00,B001AH83UG,5.0,5.0
235,2010-01-12-00,B0002GXV2Q,5.0,5.0
236,2010-01-12-00,B002GYWBJ6,5.0,5.0
237,2010-01-13-00,B0002E2KPC,5.0,5.0
238,2010-01-13-00,B000AAGM0M,5.0,5.0
239,2010-01-19-00,B0002CZSJO,4.0,4.0
240,2010-01-19-00,B000L7MNUM,4.0,4.0
241,2010-01-19-00,B001SC4I16,4.0,4.0
242,2010-01-21-00,B000KIPTE4,5.0,5.0
243,2010-01-21-00,B002Q0WSO8,5.0,5.0
244,2010-01-23-00,B0002E1G5C,5.0,5.0
245,2010-01-24-00,B0002F4MKC,5.0,5.0
246,2010-01-24-00,B0002GXRF2,5.0,5.0
247,2010-01-26-00,B000KIRT6A,5.0,5.0
248,2010-01-28-00,B0014IEBM0,5.0,5.0
249,2010-01-30-00,B0002CZVK0,5.0,5.0
250,2010-01-30-00,B0002E1NNM,5.0,5.0
251,2010-01-30-00,B0002E382Q,5.0,5.0
252,2010-01-30-00,B000A2HOB6,4.0,4.0
253,2010-02-04-00,B0002KZHQA,4.0,4.0
254,2010-02-04-00,B000EELB8W,5.0,5.0
255,2010-02-04-00,B000RW0O02,5.0,5.0
256,2010-02-04-00,B002VA464S,5.0,5.0
257,2010-02-06-00,B001V5K2S8,5.0,5.0
258,2010-02-06-00,B002PMHAVS,5.0,5.0
259,2010-02-08-00,B0002CZVWS,5.0,5.0
260,2010-02-11-00,B0002CZVA0,4.0,4.0
261,2010-02-11-00,B0002F4VBM,5.0,5.0
262,2010-02-11-00,B000KIRT74,5.0,5.0
263,2010-02-11-00,B000RNB720,5.0,5.0
264,2010-02-12-00,B0002CZVI2,4.0,4.0
265,2010-02-12-00,B0002GIRP2,4.0,4.0
266,2010-02-12-00,B000KIPT30,5.0,5.0
267,2010-02-14-00,B002Q0WSO8,5.0,5.0
268,2010-02-15-00,B000MVYOZY,5.0,5.0
269,2010-02-15-00,B002C741B8,2.0,2.0
270,2010-02-16-00,B000EEHD4I,5.0,5.0
271,2010-02-19-00,B0002D0Q2W,4.0,4.0
272,2010-02-19-00,B000KIRT38,5.0,5.0
273,2010-02-21-00,B002M8EEW8,5.0,5.0
274,2010-02-24-00,B000OY4WA6,4.0,4.0
275,2010-02-27-00,B0002CZVI2,5.0,5.0
276,2010-03-02-00,B0002CZVB4,5.0,5.0
277,2010-03-02-00,B0002F7K7Y,5.0,5.0
278,2010-03-02-00,B0009FUUO2,4.0,4.0
279,2010-03-02-00,B000CD3QY2,5.0,5.0
280,2010-03-02-00,B000EE8YPK,5.0,5.0
281,2010-03-02-00,B00186L9X2,5.0,5.0
282,2010-03-03-00,B000AKSUP2,5.0,5.0
283,2010-03-04-00,B0002CZW0Y,5.0,5.0
284,2010-03-13-00,B001NXDSK2,4.0,4.0
285,2010-03-14-00,B0002E1G5C,5.0,5.0
286,2010-03-14-00,B0002F73YY,5.0,5.0
287,2010-03-14-00,B0002H0A3S,5.0,5.0
288,2010-03-14-00,B001FSZR4U,3.0,3.0
289,2010-03-15-00,B000EE8YPK,5.0,5.0
290,2010-03-17-00,B0002H0LQO,5.0,5.0
291,2010-03-21-00,B0002GZQ1U,5.0,5.0
292,2010-03-22-00,B0002KYXTM,4.0,4.0
293,2010-03-22-00,B002EWV8NA,5.0,5.0
294,2010-03-26-00,B0002M3OVI,5.0,5.0
295,2010-03-26-00,B000LQLDM2,5.0,5.0
296,2010-03-27-00,B001AH83UG,4.0,4.0
297,2010-03-28-00,B000BBRZ3S,5.0,5.0
298,2010-03-28-00,B00178JDCK,4.0,4.0
299,2010-03-30-00,B0002D0CEO,5.0,5.0
300,2010-03-30-00,B0002Z2D08,5.0,5.0
301,2010-04-02-00,B0002E3MRW,1.0,1.0
302,2010-04-06-00,B0002GXV2Q,5.0,5.0
303,2010-04-06-00,B0002IHFVM,5.0,5.0
304,2010-04-06-00,B000CBE3G4,5.0,5.0
305,2010-04-06-00,B000CBE3GE,5.0,5.0
306,2010-04-06-00,B000Y35C8S,5.0,5.0
307,2010-04-06-00,B0018TIADQ,5.0,5.0
308,2010-04-09-00,B002KDHBRU,5.0,5.0
309,2010-04-10-00,B0002CZVA0,5.0,5.0
310,2010-04-10-00,B0002CZW0Y,4.0,4.0
311,2010-04-10-00,B0002E3FCO,1.0,1.0
312,2010-04-10-00,B0002M3OVI,4.0,4.0
313,2010-04-10-00,B0008G26JO,4.0,4.0
314,2010-04-10-00,B000LQLDM2,5.0,5.0
315,2010-04-10-00,B001AS6OYC,5.0,5.0
316,2010-04-17-00,B000IO8XFM,3.0,3.0
317,2010-04-17-00,B000RW0GT6,5.0,5.0
318,2010-04-21-00,B000TGHVGQ,5.0,5.0
319,2010-04-25-00,B000AAGM0M,5.0,5.0
320,2010-04-27-00,B000165DSM,5.0,5.0
321,2010-04-27-00,B0002MDTVS,4.0,4.0
322,2010-04-27-00,B000KW2YEI,5.0,5.0
323,2010-04-29-00,B0002CZV78,5.0,5.0
324,2010-04-29-00,B000VJZOLK,5.0,5.0
325,2010-04-30-00,B002VA464S,4.0,4.0
326,2010-05-03-00,B001AH83UG,5.0,5.0
327,2010-05-04-00,B0002CZVI2,5.0,5.0
328,2010-05-04-00,B000MVYOZY,5.0,5.0
329,2010-05-04-00,B000UF3SEA,5.0,5.0
330,2010-05-09-00,B0002CZVK0,4.0,4.0
331,2010-05-09-00,B002N4GBLI,5.0,5.0
332,2010-05-13-00,B000RKL8R2,5.0,5.0
333,2010-05-17-00,B0002E37G8,5.0,5.0
334,2010-05-18-00,B0002H0LQO,4.0,4.0
335,2010-05-22-00,B0002GLDQM,5.0,5.0
336,2010-05-22-00,B000VBH2IG,5.0,5.0
337,2010-05-22-00,B001EL6I8W,3.0,3.0
338,2010-05-24-00,B0002E2Z8Y,5.0,5.0
339,2010-05-25-00,B0002CZSJO,5.0,5.0
340,2010-05-26-00,B0002GXV2Q,4.0,4.0
341,2010-05-27-00,B0002GLCRC,5.0,5.0
342,2010-05-27-00,B000EELFTW,3.0,3.0
343,2010-05-28-00,B00186L9X2,5.0,5.0
344,2010-05-28-00,B001AS6OYC,4.0,4.0
345,2010-05-28-00,B002ZH9JQC,5.0,5.0
346,2010-05-30-00,B000EELB8W,5.0,5.0
347,2010-05-30-00,B000VBC5CY,5.0,5.0
348,2010-05-30-00,B001GD07SK,4.0,4.0
349,2010-06-03-00,B000CHJTG2,2.0,2.0
350,2010-06-05-00,B000MWWT6E,5.0,5.0
351,2010-06-05-00,B000T9NKEU,1.0,1.0
352,2010-06-08-00,B003AM913C,5.0,5.0
353,2010-06-09-00,B0002F7K7Y,5.0,5.0
354,2010-06-09-00,B002C4SM5W,4.0,4.0
355,2010-06-10-00,B0002CZVK0,4.0,4.0
356,2010-06-10-00,B000OR88JE,4.0,4.0
357,2010-06-15-00,B000A6ASSS,5.0,5.0
358,2010-06-16-00,B002EWV8IU,5.0,5.0
359,2010-06-18-00,B000RVWY42,4.0,4.0
360,2010-06-20-00,B000VOBU9U,5.0,5.0
361,2010-06-24-00,B000978D58,4.0,4.0
362,2010-06-27-00,B000AAGM0M,5.0,5.0
363,2010-06-27-00,B0016MJ1T2,5.0,5.0
364,2010-07-01-00,B0002CZSJY,5.0,5.0
365,2010-07-01-00,B0002F77B8,4.0,4.0
366,2010-07-01-00,B00064TZYW,5.0,5.0
367,2010-07-01-00,B000BU5V58,4.0,4.0
368,2010-07-01-00,B0019QJW2G,5.0,5.0
369,2010-07-04-00,B0002OOMU8,1.0,1.0
370,2010-07-12-00,B003SZDFM4,5.0,5.0
371,2010-07-13-00,B0002E3DLM,5.0,5.0
372,2010-07-13-00,B0002Z2D0I,4.0,4.0
373,2010-07-14-00,B000CD1R84,4.0,4.0
374,2010-07-19-00,B000165DSM,4.0,4.0
375,2010-07-19-00,B000JRPYGE,5.0,5.0
376,2010-07-19-00,B000XUUXB8,5.0,5.0
377,2010-07-21-00,B001J5RYXQ,5.0,5.0
378,2010-07-26-00,B0033PSLSM,5.0,5.0
379,2010-07-28-00,B000WS1QC6,5.0,5.0
380,2010-07-31-00,B00062GRXQ,5.0,5.0
381,2010-08-01-00,B0002E1H9W,5.0,5.0
382,2010-08-01-00,B0026RB0G8,5.0,5.0
383,2010-08-06-00,B003AYEAHC,5.0,5.0
384,2010-08-09-00,B0002GZM00,5.0,5.0
385,2010-08-09-00,B000EEEYCW,1.0,1.0
386,2010-08-12-00,B000KIPT30,5.0,5.0
387,2010-08-13-00,B0002E1G5C,5.0,5.0
388,2010-08-13-00,B0002E3B78,4.0,4.0
389,2010-08-13-00,B000KW2YEI,5.0,5.0
390,2010-08-13-00,B000MVYOZY,5.0,5.0
391,2010-08-13-00,B0018TAITA,5.0,5.0
392,2010-08-14-00,B002GYWBJ6,5.0,5.0
393,2010-08-18-00,B000Y7Q2C4,5.0,5.0
394,2010-08-20-00,B00063678K,5.0,5.0
395,2010-08-20-00,B0009EQMZE,2.0,2.0
396,2010-08-21-00,B0002D0CGW,5.0,5.0
397,2010-08-21-00,B002VA464S,5.0,5.0
398,2010-08-23-00,B000EEEYCW,5.0,5.0
399,2010-08-25-00,B000EXIMFI,4.0,4.0
400,2010-08-25-00,B0015RIN6U,5.0,5.0
401,2010-08-25-00,B0023BYDHK,5.0,5.0
402,2010-08-26-00,B0002GXV3A,3.0,3.0
403,2010-08-26-00,B000VBH2IG,4.0,4.0
404,2010-08-28-00,B000EEHMXA,5.0,5.0
405,2010-08-28-00,B0018L46WS,5.0,5.0
406,2010-08-30-00,B000EEJF4O,5.0,5.0
407,2010-08-30-00,B00154OJOI,5.0,5.0
408,2010-08-30-00,B002CMLPYY,5.0,5.0
409,2010-09-01-00,B000E0PPG0,5.0,5.0
410,2010-09-03-00,B0002CZSJO,5.0,5.0
411,2010-09-03-00,B0002F7K7Y,5.0,5.0
412,2010-09-03-00,B0002GXPRM,5.0,5.0
413,2010-09-03-00,B000978D58,3.0,3.0
414,2010-09-03-00,B000EEHKVY,5.0,5.0
415,2010-09-03-00,B0035LCFRW,5.0,5.0
416,2010-09-06-00,B0002E1G5C,5.0,5.0
417,2010-09-10-00,B001L8KE06,5.0,5.0
418,2010-09-12-00,B000XPPR2S,4.0,4.0
419,2010-09-12-00,B003SZDFM4,5.0,5.0
420,2010-09-13-00,B0002KYXTM,1.0,1.0
421,2010-09-14-00,B0002E38B2,5.0,5.0
422,2010-09-14-00,B000LAT0AK,5.0,5.0
423,2010-09-14-00,B002C4SM5W,3.0,3.0
424,2010-09-16-00,B0002E1NNM,3.0,3.0
425,2010-09-19-00,B000EELB8W,4.0,4.0
426,2010-09-19-00,B0010GNU9Q,5.0,5.0
427,2010-09-19-00,B001MMYVZU,5.0,5.0
428,2010-09-19-00,B001NXDSK2,5.0,5.0
429,2010-09-20-00,B0002F741Q,4.0,4.0
430,2010-09-20-00,B0002GML4U,5.0,5.0
431,2010-09-22-00,B0002CZVXM,5.0,5.0
432,2010-09-22-00,B003KJ0ZD0,3.0,3.0
433,2010-09-25-00,B0002E3MRW,2.0,2.0
434,2010-09-25-00,B000EEEYCW,5.0,5.0
435,2010-09-25-00,B0018TAITA,5.0,5.0
436,2010-09-25-00,B002HJ61PK,3.0,3.0
437,2010-09-26-00,B0002D01IG,5.0,5.0
438,2010-09-26-00,B0002E1G5C,5.0,5.0
439,2010-09-27-00,B000T4SI1K,5.0,5.0
440,2010-09-27-00,B000UF3SEA,4.0,4.0
441,2010-09-28-00,B001L8IJ0I,5.0,5.0
442,2010-09-30-00,B000AC6DVS,4.0,4.0
443,2010-10-01-00,B0002D0CKI,5.0,5.0
444,2010-10-02-00,B000KW2YEI,5.0,5.0
445,2010-10-04-00,B000AKSUP2,4.0,4.0
446,2010-10-05-00,B0002E51ZS,5.0,5.0
447,2010-10-08-00,B0002D0CLM,4.0,4.0
448,2010-10-08-00,B001PGXHW6,5.0,5.0
449,2010-10-10-00,B0002E3CHC,4.0,4.0
450,2010-10-10-00,B003OUX8ZM,5.0,5.0
451,2010-10-12-00,B0002E3DLM,5.0,5.0
452,2010-10-13-00,B0002Z2CZY,4.0,4.0
453,2010-10-14-00,B000VTPQWW,5.0,5.0
454,2010-10-14-00,B000Y7Q2C4,5.0,5.0
455,2010-10-15-00,B0002CZSJY,4.0,4.0
456,2010-10-15-00,B0002GLCRC,3.0,3.0
457,2010-10-15-00,B0007GGUGA,5.0,5.0
458,2010-10-15-00,B000VBH2IG,5.0,5.0
459,2010-10-15-00,B001XJBWXG,5.0,5.0
460,2010-10-15-00,B002KDHBRU,5.0,5.0
461,2010-10-15-00,B002PMHAVS,4.0,4.0
462,2010-10-15-00,B002Q0WSO8,5.0,5.0
463,2010-10-17-00,B000EEJF4O,4.0,4.0
464,2010-10-18-00,B000KIPT30,5.0,5.0
465,2010-10-18-00,B002VA464S,5.0,5.0
466,2010-10-20-00,B0002D02RQ,5.0,5.0
467,2010-10-21-00,B0002CZW0Y,2.0,2.0
468,2010-10-21-00,B0002GMGYA,4.0,4.0
469,2010-10-22-00,B0002GXV3A,5.0,5.0
470,2010-10-22-00,B000BUDO48,3.0,3.0
471,2010-10-26-00,B0000AQRSS,5.0,5.0
472,2010-10-28-00,B0002CZZW4,5.0,5.0
473,2010-10-28-00,B0006NDF8A,5.0,5.0
474,2010-10-28-00,B0018TIAL8,4.0,4.0
475,2010-10-28-00,B003LTJ404,5.0,5.0
476,2010-10-30-00,B000CDT4VQ,4.0,4.0
477,2010-10-30-00,B002GHBZ4U,5.0,5.0
478,2010-11-03-00,B000N5YEDG,4.0,4.0
479,2010-11-03-00,B000TGSM6E,2.0,2.0
480,2010-11-03-00,B000Y35C8S,5.0,5.0
481,2010-11-03-00,B0010KCP98,5.0,5.0
482,2010-11-04-00,B0002CZTIO,4.0,4.0
483,2010-11-04-00,B0002D0CKI,5.0,5.0
484,2010-11-04-00,B0002E1O3G,5.0,5.0
485,2010-11-04-00,B002M8GBDI,1.0,1.0
486,2010-11-07-00,B0002D0CKI,4.0,4.0
487,2010-11-09-00,B003WZ6VVM,3.0,3.0
488,2010-11-10-00,B003VWJ2K8,5.0,5.0
489,2010-11-11-00,B0002F58TG,2.0,2.0
490,2010-11-11-00,B000978D58,2.0,2.0
491,2010-11-12-00,B0002GZBNS,5.0,5.0
492,2010-11-13-00,B000068O3X,5.0,5.0
493,2010-11-14-00,B003VWKPHC,5.0,5.0
494,2010-11-15-00,B0002CZVXM,4.0,4.0
495,2010-11-15-00,B000960KNW,5.0,5.0
496,2010-11-15-00,B000XPPURU,5.0,5.0
497,2010-11-16-00,B0002GLCRC,5.0,5.0
498,2010-11-17-00,B0018TIADQ,5.0,5.0
499,2010-11-17-00,B003LTJ404,4.0,4.0
500,2010-11-18-00,B000068NW5,4.0,4.0
